0:0	quest:id
0:1	quest:sortname
0:2	quest:displayname
0:3	quest:release_type
0:4	quest:type
0:5	quest:members
0:6	quest:difficulty
0:7	quest:length
0:8	quest:location
0:9	quest:releasedate
0:10	quest:series
0:11	quest:seriesno
0:12	quest:seriesno_override
0:13	quest:startcoord
0:14	quest:startnpc
0:15	quest:startloc
0:16	quest:mapelement
0:17	quest:questpoints
0:18	quest:unstartedstate
0:19	quest:endstate
0:20	quest:version
0:21	quest:parent_quest
0:22	quest:has_subquests
0:23	quest:requirement_stats
0:24	quest:recommended_stats
0:25	quest:requirement_quests
0:26	quest:requirement_questpoints
0:27	quest:requirement_combat
0:28	quest:recommended_combat
0:29	quest:requirement_check_skills_on_start
0:30	quest:requirements_boostable
0:31	quest:speedrun
0:32	quest:total_xp_awarded
0:33	quest:stat_xp_awarded
0:34	quest:prerequisite_direct
0:35	quest:prerequisite_indirect
0:36	quest:ftue_starter
0:37	quest:cr_can_recommend
0:38	quest:cr_experience_profile
0:39	quest:cr_recommendation_reason
0:40	quest:cr_recommendation_reason_is_primary
0:41	quest:cr_points_skill
0:42	quest:cr_points_transport
0:43	quest:cr_points_equipment
0:44	quest:cr_points_area
0:45	quest:cr_points_xp_type
0:46	quest:cr_starter
0:47	quest:fsw_world_first_id
0:48	quest:related_content
1:0	events:name
1:1	events:year_of_release
1:2	events:type
1:3	events:identifier_obj
1:4	events:reward_name
1:5	events:reward_obj
1:6	events:finished_state
1:7	events:farewell_message
1:8	events:reward_usesystem
2:0	cr_module:displayname
2:1	cr_module:icon
2:2	cr_module:icon_offset
2:3	cr_module:content_container
3:0	cluehelper_cluetype:name
3:1	cluehelper_cluetype:quest_clues
3:2	cluehelper_cluetype:beginner_clues
3:3	cluehelper_cluetype:easy_clues
3:4	cluehelper_cluetype:medium_clues
3:5	cluehelper_cluetype:hard_clues
3:6	cluehelper_cluetype:elite_clues
3:7	cluehelper_cluetype:master_clues
4:0	cluehelper_clue_anagram:id
4:1	cluehelper_clue_anagram:difficulty
4:2	cluehelper_clue_anagram:clue_text
4:3	cluehelper_clue_anagram:target
4:4	cluehelper_clue_anagram:challenge
4:5	cluehelper_clue_anagram:region
4:6	cluehelper_clue_anagram:requirements
4:7	cluehelper_clue_anagram:allregions
4:8	cluehelper_clue_anagram:related_content
